admcd	admnm	lon	lat
1130553100	서울특별시 강북구 미아제1동	127.012	37.624
1130553200	서울특별시 강북구 미아제2동	127.012	37.624
1130553300	서울특별시 강북구 미아제3동	127.026	37.629
1130553400	서울특별시 강북구 삼양동	127.012	37.624
1130553500	서울특별시 강북구 미아동	127.026	37.629
1130554000	서울특별시 강북구 미아제4동	127.034	37.617
1130554500	서울특별시 강북구 송중동	127.034	37.617
1130555000	서울특별시 강북구 미아제5동	127.025	37.618
1130555500	서울특별시 강북구 송천동	127.025	37.618
1130556500	서울특별시 강북구 미아제6.7동	127.017	37.616
1130557500	서울특별시 강북구 삼각산동	127.017	37.616
1130558000	서울특별시 강북구 미아제8동	127.024	37.621
1130558100	서울특별시 강북구 미아제9동	127.034	37.617
1130559000	서울특별시 강북구 번제1동	127.03	37.638
1130559500	서울특별시 강북구 번제1동	127.03	37.638
1130560000	서울특별시 강북구 번제2동	127.035	37.628
1130560300	서울특별시 강북구 번제2동	127.035	37.628
1130560600	서울특별시 강북구 번제3동	127.043	37.623
1130560800	서울특별시 강북구 번제3동	127.043	37.623
1130561000	서울특별시 강북구 수유제1동	127.007	37.63
1130561500	서울특별시 강북구 수유제1동	127.007	37.63
1130562000	서울특별시 강북구 수유제2동	127.02	37.645
1130562500	서울특별시 강북구 수유제2동	127.02	37.645
1130563000	서울특별시 강북구 수유제3동	127.024	37.641
1130563500	서울특별시 강북구 수유제3동	127.024	37.641
1130564000	서울특별시 강북구 수유제4동	127.002	37.662
1130564500	서울특별시 강북구 우이동	127.001	37.662
1130565000	서울특별시 강북구 수유제5동	127.001	37.639
1130565100	서울특별시 강북구 수유제6동	127.005	37.64
1130566000	서울특별시 강북구 인수동	127.001	37.639
1132000000	서울특별시 도봉구	127.033	37.666
1132051100	서울특별시 도봉구 창제1동	127.046	37.645
1132051200	서울특별시 도봉구 창제2동	127.037	37.642
1132051300	서울특별시 도봉구 창제3동	127.041	37.638
1132051400	서울특별시 도봉구 창제4동	127.051	37.651
1132051500	서울특별시 도봉구 창제5동	127.043	37.657
1132052100	서울특별시 도봉구 도봉제1동	127.027	37.685
1132052200	서울특별시 도봉구 도봉제2동	127.048	37.682
1132066000	서울특별시 도봉구 쌍문제1동	127.017	37.654
1132067000	서울특별시 도봉구 쌍문제2동	127.037	37.656
1132068000	서울특별시 도봉구 쌍문제3동	127.03	37.647
1132068100	서울특별시 도봉구 쌍문제4동	127.03	37.655
1132069000	서울특별시 도봉구 방학제1동	127.044	37.665
1132070000	서울특별시 도봉구 방학제2동	127.033	37.669
1132071000	서울특별시 도봉구 방학제3동	127.023	37.663
1132072000	서울특별시 도봉구 방학제4동	127.023	37.663
1135000000	서울특별시 노원구	127.071	37.655
